model,n,top_k,observed_pct,observed_ci_low,observed_ci_high,never_observed_pct,final_topk_pct,final_topk_ci_low,final_topk_ci_high,dropout_pct,dropout_ci_low,dropout_ci_high,entered_then_disappeared_pct,entered_then_disappeared_ci_low,entered_then_disappeared_ci_high,mean_first_depth_observed,mean_persistent_depth_final
Qwen2.5-7B,817,50,0.8592411260709915,0.8337095199063659,0.8814103046250911,0.14075887392900854,0.847001223990208,0.8206972075523759,0.8700573759388269,0.2668298653610771,0.23764355985123053,0.2981985983319294,0.012239902080783354,0.00666184564183033,0.02238329890404487,0.7580891330891331,0.830770024772915
Qwen2.5-7B,817,100,0.9179926560587516,0.8971648259938435,0.9349081555308331,0.08200734394124842,0.9020807833537332,0.8797804271028616,0.9206177410694848,0.34149326805385555,0.3097859279903812,0.3746842005383285,0.01591187270501836,0.009322215265440378,0.02703250159251104,0.7098571428571429,0.8059701492537313
Gemma-7B,817,1,0.33047735618115054,0.29908197242889095,0.3634594391635901,0.6695226438188495,0.26438188494492043,0.2352954390572221,0.29567367091788693,0.22276621787025705,0.19556858418801948,0.25255870625022575,0.06609547123623011,0.05100888281932621,0.08524332230366692,0.8767195767195768,1.0
Gemma-7B,817,3,0.5507955936352509,0.5165291029894317,0.5845866473276227,0.4492044063647491,0.49938800489596086,0.4651859843548856,0.5335957535931016,0.3463892288861689,0.3145494821573428,0.3796667427874686,0.051407588739290085,0.03825500275928582,0.06875891311540241,0.8719841269841271,0.9999124649859944
Gemma-7B,817,5,0.6474908200734394,0.6141103977935184,0.679490756741543,0.3525091799265606,0.5997552019583844,0.5657678615515399,0.6328088529265309,0.40269277845777235,0.36959417046548776,0.43670216326449235,0.04773561811505508,0.035113995495411165,0.06459034806720083,0.8610586011342155,0.9998542274052479
Gemma-7B,817,10,0.7649938800489596,0.7347212904480545,0.7927861780734462,0.23500611995104037,0.7172582619339045,0.6854176141901058,0.747065414274404,0.47980416156670747,0.4457215491659573,0.5140758031176235,0.04773561811505508,0.035113995495411165,0.06459034806720083,0.8489714285714286,0.999756216479766
Gemma-7B,817,20,0.8531211750305998,0.8271962237616777,0.8757409802496523,0.1468788249694002,0.8225214198286414,0.7948309468541849,0.8471931545565098,0.5483476132190942,0.5140759719943037,0.5821667301146999,0.030599755201958383,0.02081119544638569,0.044781810659870615,0.834904693584751,0.9995748299319727
Gemma-7B,817,50,0.9363525091799265,0.9174855609552819,0.9511352821297756,0.06364749082007348,0.9118727050183598,0.8904568124142016,0.9294335485903478,0.6413708690330477,0.6078933815198684,0.6735251524950661,0.02447980416156671,0.015901906575437906,0.03750847901069137,0.7934640522875817,0.9993767976989454
Gemma-7B,817,100,0.9571603427172583,0.9410039563010405,0.9690377965524491,0.04283965728274175,0.9388004895960832,0.9202213040947858,0.9532725871983228,0.6915544675642595,0.6590501121671042,0.7222659101128721,0.01835985312117503,0.011157378527103879,0.03007038653889836,0.7091706247716477,0.9955764574408643
Pythia-6.9B,817,1,0.4222766217870257,0.38884927740452,0.4564314419898666,0.5777233782129743,0.2350061199510404,0.20721382192655374,0.26527870955194555,0.27050183598531213,0.24116794405158257,0.3019837864436536,0.18727050183598531,0.1620053252853175,0.2154627661361909,0.5419384057971014,0.7527669270833334
Pythia-6.9B,817,3,0.5887392900856793,0.5546595414482343,0.6219884560936078,0.41126070991432073,0.47123623011015914,0.43722231241439447,0.5055193711410085,0.2876376988984088,0.257649111852648,0.3196139560989438,0.1175030599755202,0.09719125421317565,0.1413949632788846,0.5087707900207901,0.6931818181818182
Pythia-6.9B,817,5,0.6842105263157895,0.6515378512607222,0.7151590263951018,0.3157894736842105,0.5850673194614443,0.5509606308712033,0.6183777943585625,0.30966952264381886,0.27891792898757,0.3422025728364792,0.09914320685434516,0.08048872789213413,0.12154962803954497,0.4915026833631485,0.6618723849372385
Pythia-6.9B,817,10,0.780905752753978,0.7512640856966751,0.8079181961771559,0.219094247246022,0.7111383108935129,0.6791288402796772,0.7411715676647056,0.2839657282741738,0.25411280177107476,0.31584069386844094,0.06976744186046512,0.054237244493586106,0.08932453294148324,0.45400666144200624,0.614565404475043
Pythia-6.9B,817,20,0.8567931456548348,0.8311024402612563,0.8791443360621498,0.14320685434516522,0.799265605875153,0.7704277673856604,0.8253023760485517,0.29498164014687883,0.2647291169709456,0.32715309560479877,0.05752753977968176,0.043535158437900734,0.07566137795691452,0.4132142857142857,0.5803503062787136
Pythia-6.9B,817,50,0.9008567931456548,0.878450371960455,0.9195112721078659,0.09914320685434519,0.8751529987760098,0.8507167163611427,0.8960779215226446,0.30599755201958384,0.27536718819356953,0.3384437413184034,0.025703794369645042,0.01687238124355473,0.038974528446599946,0.38357676630434784,0.5335227272727273
Pythia-6.9B,817,100,0.9241126070991432,0.9039032557118999,0.9403523463329037,0.07588739290085678,0.9094247246022031,0.8877814797871715,0.9272358330093271,0.27050183598531213,0.24116794405158257,0.3019837864436536,0.014687882496940025,0.008421727257743886,0.025496465496182126,0.36043046357615893,0.47939098250336476
